accurate_moves,inaccurate_moves,mistake_moves,blunder_moves,average_cp_loss,accuracy_score,player,game_id,elo,result,cheat_ratio,label
1,7,25,32,306.96923076923076,69.30307692307693,white,game_32,1299,draw,0.7285714285714285,1
2,6,22,34,301.0625,69.89375,black,game_32,1301,draw,0.7681159420289855,1
4,13,3,33,311.1509433962264,68.88490566037736,white,game_33,1301,draw,0.423728813559322,0
7,11,1,33,315.09615384615387,68.49038461538461,black,game_33,1301,draw,0.23728813559322035,0
17,17,15,7,126.32142857142857,87.36785714285715,white,game_34,1302,draw,0.01694915254237288,0
17,19,14,6,116.64285714285714,88.33571428571429,black,game_34,1301,draw,0.3898305084745763,0
1,4,2,59,444.1515151515151,55.584848484848486,white,game_35,1303,draw,0.7285714285714285,1
2,2,1,59,455.53125,54.446875,black,game_35,1301,draw,0.6142857142857143,0
22,9,12,12,163.21818181818182,83.67818181818181,white,game_36,1304,draw,0.10714285714285714,0
24,10,8,12,155.7962962962963,84.42037037037036,black,game_36,1301,draw,0.17857142857142858,0
2,9,10,15,272.3333333333333,72.76666666666667,white,game_37,1307,draw,0.14634146341463414,0
3,8,9,14,262.2352941176471,73.7764705882353,black,game_37,1301,draw,0.7560975609756098,1
4,5,0,54,369.76190476190476,63.023809523809526,white,game_38,1311,draw,0.8108108108108109,1
5,3,0,55,382.87301587301585,61.712698412698415,black,game_38,1301,draw,0.7162162162162162,1
20,17,8,10,137.6,86.24,white,game_39,1312,draw,0.13793103448275862,0
19,18,7,11,149.8,85.02,black,game_39,1301,draw,0.5689655172413793,0
4,4,18,20,252.56521739130434,74.74347826086957,white,game_40,1313,draw,0.6739130434782609,0
6,3,20,16,230.86666666666667,76.91333333333333,black,game_40,1301,draw,0.5434782608695652,0
12,7,4,0,40.08695652173913,95.99130434782609,white,game_41,1316,draw,0.36363636363636365,0
13,3,7,0,47.04347826086956,95.29565217391304,black,game_41,1301,draw,0.53125,0
5,11,19,17,237.05769230769232,76.29423076923077,white,game_42,1317,draw,0.288135593220339,0
9,7,18,17,240.66666666666666,75.93333333333334,black,game_42,1301,draw,0.7627118644067796,1
1,4,10,28,347.5581395348837,65.24418604651163,white,game_43,1317,draw,0.5882352941176471,0
3,2,11,28,338.6136363636364,66.13863636363635,black,game_43,1301,draw,0.66,0
6,4,2,12,272.0,72.8,white,game_44,1318,draw,0.42857142857142855,0
8,2,2,12,271.9166666666667,72.80833333333334,black,game_44,1301,draw,0.14814814814814814,0
3,5,7,35,338.06,66.19399999999999,white,game_45,1319,draw,0.7818181818181819,1
3,4,8,35,340.48,65.952,black,game_45,1301,draw,0.5925925925925926,0
0,7,3,9,286.7894736842105,71.32105263157895,white,game_46,1321,draw,0.42105263157894735,0
4,4,0,10,283.6666666666667,71.63333333333333,black,game_46,1301,draw,0.47368421052631576,0
4,4,0,10,275.3333333333333,72.46666666666667,white,game_47,1323,draw,0.045454545454545456,0
4,3,1,10,280.8333333333333,71.91666666666667,black,game_47,1301,draw,0.13636363636363635,0
6,6,4,32,338.8125,66.11875,white,game_48,1324,draw,0.625,0
7,4,8,28,335.21276595744683,66.4787234042553,black,game_48,1301,draw,0.34545454545454546,0
8,9,29,20,249.13636363636363,75.08636363636364,white,game_49,1324,draw,0.6515151515151515,0
10,12,26,18,224.83333333333334,77.51666666666667,black,game_49,1301,draw,0.7121212121212122,1
3,8,13,8,185.0625,81.49375,white,game_50,1325,draw,0.7027027027027027,1
7,6,11,8,183.53125,81.646875,black,game_50,1301,draw,0.3888888888888889,0
9,3,5,19,249.55555555555554,75.04444444444445,white,game_51,1326,draw,0.717948717948718,1
10,3,5,18,243.25,75.675,black,game_51,1301,draw,0.47368421052631576,0
1,15,0,26,312.7857142857143,68.72142857142858,white,game_52,1326,draw,0.0,0
4,11,0,25,316.85,68.315,black,game_52,1301,draw,0.5111111111111111,0
6,5,24,24,256.8474576271187,74.31525423728813,white,game_53,1328,draw,0.23809523809523808,0
7,3,19,30,277.7457627118644,72.22542372881355,black,game_53,1301,draw,0.03225806451612903,0
1,11,20,19,258.84313725490193,74.11568627450981,white,game_54,1329,draw,0.3220338983050847,0
4,8,18,20,266.6,73.34,black,game_54,1301,draw,0.8135593220338984,1
3,5,4,27,340.0769230769231,65.99230769230769,white,game_55,1330,draw,0.7380952380952381,1
1,4,6,28,348.15384615384613,65.18461538461538,black,game_55,1301,draw,0.4634146341463415,0
0,5,3,39,432.2340425531915,56.77659574468085,white,game_56,1331,draw,0.7272727272727273,1
2,4,2,38,429.0652173913044,57.09347826086956,black,game_56,1301,draw,0.5925925925925926,0
5,10,7,19,261.8780487804878,73.81219512195122,white,game_57,1335,draw,0.6666666666666666,0
7,9,5,20,261.0975609756098,73.89024390243902,black,game_57,1301,draw,0.3181818181818182,0
1,4,2,40,437.93617021276594,56.206382978723404,white,game_58,1338,draw,0.5964912280701754,0
1,4,2,40,437.6808510638298,56.23191489361702,black,game_58,1301,draw,0.8035714285714286,1
2,8,6,7,224.2173913043478,77.57826086956521,white,game_59,1343,draw,0.17857142857142858,0
4,7,4,7,216.27272727272728,78.37272727272727,black,game_59,1301,draw,0.5714285714285714,0
2,6,24,20,275.8076923076923,72.41923076923077,white,game_60,1344,draw,0.5,0
4,4,23,20,272.7647058823529,72.7235294117647,black,game_60,1301,draw,0.625,0
1,11,31,11,224.62962962962962,77.53703703703704,white,game_61,1345,draw,0.543859649122807,0
2,9,32,12,230.05454545454546,76.99454545454546,black,game_61,1301,draw,0.39285714285714285,0
0,9,3,25,337.56756756756755,66.24324324324324,white,game_62,1351,draw,0.13333333333333333,0
0,9,1,26,346.19444444444446,65.38055555555556,black,game_62,1301,draw,0.5333333333333333,0
2,6,11,45,369.375,63.0625,white,game_63,1354,draw,0.6027397260273972,0
4,4,13,44,365.03076923076924,63.496923076923075,black,game_63,1301,draw,0.7222222222222222,1
1,16,18,10,203.24444444444444,79.67555555555555,white,game_64,1357,draw,0.7884615384615384,1
3,16,15,11,204.4,79.56,black,game_64,1301,draw,0.5686274509803921,0
0,3,17,44,360.921875,63.9078125,white,game_65,1358,draw,0.4142857142857143,0
2,1,18,42,366.57142857142856,63.34285714285714,black,game_65,1301,draw,0.6571428571428571,0
3,9,19,0,141.67741935483872,85.83225806451613,white,game_66,1358,draw,0.17647058823529413,0
5,8,17,1,125.74193548387096,87.4258064516129,black,game_66,1301,draw,0.09090909090909091,0
1,14,20,38,320.13698630136986,67.98630136986301,white,game_67,1368,draw,0.7560975609756098,1
4,12,20,37,308.6164383561644,69.13835616438357,black,game_67,1301,draw,0.7901234567901234,1
1,9,3,21,325.5882352941176,67.44117647058823,white,game_68,1370,draw,0.4090909090909091,0
2,7,3,21,327.27272727272725,67.27272727272728,black,game_68,1301,draw,0.4772727272727273,0
8,7,4,23,301.5238095238095,69.84761904761905,white,game_69,1376,draw,0.7551020408163265,1
11,6,2,23,294.3333333333333,70.56666666666666,black,game_69,1301,draw,0.7083333333333334,1
6,2,24,24,282.25,71.775,white,game_70,1380,draw,0.36507936507936506,0
5,2,22,27,293.89285714285717,70.61071428571428,black,game_70,1301,draw,0.8253968253968254,1
0,3,12,15,287.56666666666666,71.24333333333334,white,game_71,1419,draw,0.13333333333333333,0
5,4,8,13,225.1,77.49,black,game_71,1301,draw,0.5666666666666667,0
4,3,0,19,364.53846153846155,63.54615384615384,white,game_72,1458,draw,0.2962962962962963,0
4,3,0,19,355.34615384615387,64.46538461538461,black,game_72,1301,draw,0.0,0
8,22,6,13,180.3265306122449,81.9673469387755,white,game_73,1562,draw,0.23529411764705882,0
13,16,7,12,172.0,82.8,black,game_73,1301,draw,0.49019607843137253,0
3,18,11,5,141.86486486486487,85.81351351351351,white,game_74,1167,draw,0.125,0
3,13,15,5,156.83333333333334,84.31666666666666,black,game_74,1302,draw,0.22916666666666666,0
3,2,10,12,273.85185185185185,72.61481481481482,white,game_75,1172,draw,0.5357142857142857,0
3,3,8,13,281.7037037037037,71.82962962962964,black,game_75,1302,draw,0.0,0
9,15,11,26,255.95081967213116,74.40491803278688,white,game_76,1189,draw,0.6666666666666666,0
10,14,11,26,253.13114754098362,74.68688524590164,black,game_76,1302,draw,0.5942028985507246,0
4,8,11,18,277.4634146341463,72.25365853658536,white,game_77,1218,draw,0.2391304347826087,0
5,9,9,17,264.45,73.555,black,game_77,1302,draw,0.1111111111111111,0
6,9,6,4,150.44,84.956,white,game_78,1226,draw,0.5925925925925926,0
8,7,7,2,126.75,87.325,black,game_78,1302,draw,0.23076923076923078,0
16,24,8,13,152.13114754098362,84.78688524590163,white,game_79,1234,draw,0.25,0
20,22,5,14,150.44262295081967,84.95573770491804,black,game_79,1302,draw,0.4647887323943662,0
5,6,10,36,321.859649122807,67.8140350877193,white,game_80,1238,draw,0.5573770491803278,0
6,6,9,35,304.5357142857143,69.54642857142858,black,game_80,1302,draw,0.23333333333333334,0
2,13,10,5,171.9,82.81,white,game_81,1248,draw,0.2702702702702703,0
4,11,8,6,161.0,83.9,black,game_81,1302,draw,0.6486486486486487,0
10,12,6,34,272.7903225806452,72.72096774193548,white,game_82,1259,draw,0.18840579710144928,0
11,8,8,34,271.8360655737705,72.81639344262295,black,game_82,1302,draw,0.22058823529411764,0
0,16,2,6,144.70833333333334,85.52916666666667,white,game_83,1262,draw,0.4166666666666667,0
4,12,3,4,120.8695652173913,87.91304347826087,black,game_83,1302,draw,0.20833333333333334,0
1,6,3,28,388.2105263157895,61.17894736842105,white,game_84,1265,draw,0.45652173913043476,0
1,7,2,29,388.7435897435897,61.12564102564102,black,game_84,1302,draw,0.2,0
15,8,2,8,144.78787878787878,85.52121212121212,white,game_85,1265,draw,0.4444444444444444,0
16,7,2,8,149.57575757575756,85.04242424242425,black,game_85,1302,draw,0.14285714285714285,0
7,13,3,22,256.9111111111111,74.30888888888889,white,game_86,1267,draw,0.68,0
8,13,2,22,246.8,75.32,black,game_86,1302,draw,0.22448979591836735,0
6,5,16,23,299.0,70.1,white,game_87,1269,draw,0.4423076923076923,0
0,6,18,26,334.88,66.512,black,game_87,1302,draw,0.07692307692307693,0
7,11,2,12,219.84375,78.015625,white,game_88,1269,draw,0.2894736842105263,0
9,10,1,12,214.1875,78.58125,black,game_88,1302,draw,0.1891891891891892,0
1,8,0,7,241.1875,75.88125,white,game_89,1272,draw,0.3,0
2,7,0,7,243.625,75.6375,black,game_89,1302,draw,0.10526315789473684,0
3,16,5,27,286.1764705882353,71.38235294117646,white,game_90,1273,draw,0.1111111111111111,0
5,15,3,28,289.1764705882353,71.08235294117647,black,game_90,1302,draw,0.42592592592592593,0
38,24,7,14,118.21686746987952,88.17831325301205,white,game_91,1274,draw,0.8842105263157894,1
40,23,6,14,118.39759036144578,88.16024096385541,black,game_91,1302,draw,0.7978723404255319,1
0,6,11,37,382.962962962963,61.7037037037037,white,game_92,1282,draw,0.453125,0
0,9,8,37,376.6666666666667,62.33333333333333,black,game_92,1302,draw,0.3968253968253968,0
6,9,9,1,90.12,90.988,white,game_93,1283,draw,0.07692307692307693,0
10,5,8,1,83.75,91.625,black,game_93,1302,draw,0.4230769230769231,0
4,17,13,21,245.1090909090909,75.4890909090909,white,game_94,1283,draw,0.38095238095238093,0
5,18,9,24,249.10714285714286,75.08928571428571,black,game_94,1302,draw,0.8095238095238095,1
2,10,0,0,44.25,95.575,white,game_95,1283,draw,0.15384615384615385,0
2,7,3,0,75.83333333333333,92.41666666666667,black,game_95,1302,draw,0.0,0
4,6,3,4,155.94117647058823,84.40588235294118,white,game_96,1284,draw,0.42105263157894735,0
6,4,3,4,154.8235294117647,84.51764705882353,black,game_96,1302,draw,0.1111111111111111,0
